1,7503,81539,57016,991,6279,51176,5111,4499,6925,10135,3043,50486,4250,760,26520,1991,10253,1362,6447,5315,1306,29760,10769,1465,7153,2778,489,29082,100,6182,7001,6591,8848,1152,1178,2266,2752,7071,5138,4353,2172,1908,2244,2877,5209,10606,65108,5657,57215,9093,9638,7177,7433,3985,5349,1066,928,3306,79902,3929,8204,994,79679,7104,8483,3315,5004,4246,142,3045,1893,64499,445347,1434,566,3295,80183,1791,3429,7276,6926,5121,8531,6286,6690,10647,3157,6999,5553,4925,7088,7091,5055,10628,1738,3240,3632,2628,8574,1522,79789,25816,4680,3399,53335,3726,8566,6566,6036,1398,7866,23405,1780,1906,22918,23370,55930,6283,3091,5889,10776,4897,22877,55884,5493,23326,9337,10409,3005,1983,2131,10202,10397,51203,5872,8611,253190,10273,1475,11137,8530,2641,58528,11240,10059,4600,4501,10434,57496,2201,10105,2697,6840,9214,23017,54490,7358,10362,488,571,5068,2597,1594,4852,115207,10921,187,13,23367,1577,22934,10211,81552,54474,7267,1749,3158,2063,10190,51806,64759,11065,240,8115,64429,10562,7450,5646,51734,4057,10457,332,27346,2069,3189,9128,376267,1902,4741,2803,22836,2589,7050,79080,80022,8520,23303,3667,5190,5530,9212,3912,5968,6253,2243,124583,4086,1606,57804,11199,23157,6415,22921,1674,22796,3032,27440,481,51196,1130,4615,3488,10602,23191,83483,3290,3320,3575,217,79716,3248,9868,10058,10200,670,7168,6675,366,5529,9935,9079,79686,8991,1690,114327,5360,54838,8935,7703,3294,10038,6867,7812,2821,10656,7644,91949,23179,58478,4311,3959,3066,9112,687,891,6518,9063,4082,8836,5831,29923,4720,23683,23705,5287,6744,4224,56987,27290,2494,79874,9352,11201,30851,5789,23164,27129,10791,10793,9635
2,163486,2886,7422,28984,6382,158471,27032,9518,4931,114884,637,6461,6832,4246,6253,2131,133,5479,1500,1051,11044,10647,9915,57761,1363,9842,123,55450,55818,81539,10970,23271,72,30001,3759,1382,54665,2,55893,891,222161,501,2288,5525,7016,7076,211,8446,7980,7077,8334,1788,25984,388650,3099,5514,4608,55957,10905,4885,9118,28231,9541,51053,5747,6279,271,4817,8120,27112,55800,5321,347902,387032,29953,3310,55116,2203,26064,960,5796,5373,3017,4189,4232,27445,79684,8349,5529,5361,80143,29946,1381,23321,148753,581,1996,23219,4893,55757,10681,6252,375057,701,5141,9249,1848,39,8578,2523,55061,843,8534,81501,79716,79862,7564,9820,79905,1298,93,5794,56980,9885,6508,1116,3454,28232,78987,26960,51513,81551,8448,23363,79586,23285,2861,7161,91949,4139,8997,5172,22848,9670,3459,5800,197320,80055,10076,27336,54834,27242,10489,23089,1846,79047,8793,23469,55315,54455,9758,54816,10745,55285,5770,200576,4507,4780,6004,2321,7553,6861,53335,5775,23180,9729,51129,1102,51412,9034,2213,4321,23014,51310,10256,3006,1852,3547,27295,84272,747,958,11318,7625,5798,8224,55922,23144,5173,79230,6456,10049,8927,9060,816,9223,54149,57118,333,11074,9860,58500,80778,7516,3008,8985,51100,59353,10279,3239,9918,63971,54718,64218,51274,576,10488,51272,3895,781,820,10252,51179,11047,23318,54900,64925,6406,55647,4318,54847,149076,53836,9699,1259,79656,8654,11000,27161,1749,64320,57706,7253,2299,10123,23148,26115,7626,55160,972,9831,1669,26959,8739,114819,1676,51477,3998,6853,5754,84172,1296,23161,54866,22879,5089,6654,605,9863,200734,646,79364,2677,7748,7136,51177,25850,9363,7040,64078,10602,65987,92,7350,6543,8345,4914,6570,7639,445
3,991,3043,5111,7503,81539,1475,2628,6279,57016,70,3306,7416,760,1152,6926,8516,3312,10457,4069,1465,79887,2778,3045,1674,4688,100,4741,1522,51021,10397,9270,30836,6925,3157,64780,3418,9761,6280,65108,2597,3394,813,1880,6840,51363,3985,51495,11030,56675,23658,115207,23326,1991,5529,6770,5023,4599,2821,4318,1983,5982,5315,7071,123,9843,55699,10656,1066,57761,5708,3543,57215,6999,7533,79844,6525,4124,10486,27095,26520,10362,55,54210,5092,51176,3290,9093,5660,4680,10602,240,4321,60481,2266,50486,5223,5789,3005,54676,1893,80183,3959,10156,23017,1105,891,5728,22918,1318,23158,1385,366,6117,376267,10563,8718,9214,2776,6535,51024,27129,22921,79143,138151,7097,7177,1213,55655,6515,38,5657,2280,58189,2069,5271,22836,7106,4600,9578,51203,7267,22877,374,9638,26047,3848,5190,7050,3726,11259,10135,25816,5047,9920,79154,7296,26119,7306,5710,23210,3575,56950,1512,7091,3670,1594,4353,64499,9465,81932,9926,6518,22934,23512,79080,10253,960,9783,11012,23367,11213,5816,4929,1906,9764,23294,22796,10562,9595,27035,57473,9477,23284,3620,142,1760,818,7057,2877,27346,2888,1306,894,10475,9337,8630,6283,7358,9379,23601,1155,28959,241,91,23312,4478,1791,2885,58488,10318,54502,332,1902,26053,9842,7466,9934,11011,1293,4330,9919,58528,4332,55196,7357,166647,25903,4811,55799,9635,10402,4782,2355,7433,54910,10437,3099,638,9133,23281,3689,6278,26039,25797,207,5209,27440,7019,8543,9847,64854,5055,5745,56987,55686,29082,81849,23157,56929,6478,6566,51290,7001,23258,93643,10346,831,27333,3315,5730,3419,3845,10769,9690,23002,9050,1909,522,8914,51282,1130,55076,23608,7200,116138,10493,9529,79646,7320,79982
9,54499,1738,10493,6382,26128,7105,158471,11098,58497,26520,9221,55748,2582,5566,3033,10898,310,2171,54386,27069,10434,29083,3988,1070,23658,10273,56997,23548,23326,9706,960,9650,2954,5892,5996,8520,23063,11137,23386,25932,9338,5313,8846,501,5901,51027,23461,11232,4675,6772,10200,1389,8703,5464,5264,55156,27246,2745,7596,51382,3185,26240,58528,79009,7263,83480,10866,2774,79943,59,9559,24141,64794,29082,9733,10797,4692,64786,56912,4586,1027,962,8971,22893,23376,1514,23417,4043,3419,6504,7857,57415,5696,55086,834,2633,29960,10457,7580,10367,55664,64388,23029,9595,80777,4155,5193,963,63894,81932,114112,2697,57228,51309,50810,307,10724,1979,9404,55190,57823,7692,54903,55781,55172,80221,27005,8613,6672,8914,23469,712,81539,23163,16,8559,11097,26054,10289,7372,8895,56257,23284,175,9757,7374,55198,23161,26610,994,63874,7766,51506,51031,988,51021,55726,80167,7076,5179,64172,5909,6404,79752,563,221443,10559,9869,26273,55218,92815,3202,5701,8574,22926,22835,27434,2230,54953,55188,349152,5111,3880,54974,54552,10473,22889,55316,8243,9128,5547,1486,54737,51116,4736,9104,7453,1390,51603,7386,55119,55601,6328,713,51191,92342,2617,708,55094,2898,231,8533,11165,373,54968,23053,9013,65057,6125,2123,64222,47,7298,9487,288,5189,10775,4669,25913,23142,64092,10489,23558,2672,10966,57150,3662,79672,6554,54708,4674,1161,257407,55076,4720,585,51056,51071,55374,49856,80071,8000,57215,825,5976,3037,3176,64081,3682,10428,3082,54205,4671,7728,22797,7264,79157,51,9547,22985,23357,25880,54826,9120,9847,55435,3776,5905,9446,9093,65220,9522,6707,80196,55843,60625,8798,10478,23603,3303,2717,79850,717,10450,8558,2941,55750,7518,8883,81894
10,7503,6279,57016,3043,5111,10135,1893,6690,81539,4499,10253,10769,1306,991,7001,1522,1991,5004,51176,7071,26520,2266,2778,1066,22918,2172,5657,2063,9638,8531,6999,240,2597,1465,6840,51495,1178,7153,6447,1906,6283,2244,38,50486,5315,3315,9093,3045,3157,5138,3929,4353,58528,80183,10656,10562,9843,7358,10190,23326,760,5889,1152,7433,57215,3985,22836,3306,10362,10631,7276,489,5646,5104,1434,10156,6925,2171,64429,5349,10273,2069,6280,566,142,2877,5708,79080,6518,4885,22903,7866,3312,6566,1738,1381,22877,4250,5457,7045,928,7267,23658,7102,3294,4852,2752,7320,10397,11137,29082,374,58526,4501,256987,6709,5553,9112,10211,5121,7164,687,4741,79789,3632,100,4224,8516,27440,8522,4897,25776,65108,23017,3005,10059,5710,4688,6697,9690,9319,3158,22921,22796,115207,79902,51734,27242,8566,10202,994,8991,6675,2776,5529,9063,3295,8839,1791,25797,10237,3726,1475,55699,831,4082,2641,23367,80117,57496,11020,7088,6867,1114,4069,58478,8935,5728,1476,79686,80022,9337,9079,9761,2872,23683,8520,571,65057,6541,1594,51363,25903,5190,2824,25959,7504,4600,10602,2495,5982,7812,30851,23076,29775,54474,4583,2547,5090,2321,53335,23294,114876,5347,9221,5493,9050,25816,10051,23405,55655,9743,8848,7031,4680,59,5209,57761,11168,55930,6476,7159,11201,2114,1730,8483,53405,5791,8895,9191,1385,498,6692,376267,3240,1727,1308,8490,79908,4246,1908,6535,55884,9919,10105,9212,284,23312,54103,2288,9188,7644,26053,1669,79870,11078,339287,2258,7307,27290,23613,891,9215,1362,4710,150,3320,51382,9477,26,7091,23325,5789,25932,8611,11012,8974,5023,9379,6036,9331,10793,1577,55833,1174,9934,114327,83483,2232,58488
12,7503,5111,6279,3043,991,3306,50486,10135,81539,366,51176,29082,6926,2628,1991,4741,2778,1465,10457,1152,1066,10253,1475,100,6840,2171,5708,4688,240,123,4680,4318,2258,3315,4499,60481,1522,2266,5657,1893,25797,5223,6925,70,7071,3312,10156,57215,80183,6447,10362,7153,5004,26520,6999,1674,7276,23157,4353,11057,51290,1114,2752,124583,2167,6283,23210,1306,8531,7001,4282,6286,7433,57016,5315,1791,23367,9188,5660,4069,2172,23017,1362,1902,440,9093,4600,6591,3985,3429,1983,23312,10273,55256,4250,4124,4501,2180,9531,58528,2824,9843,79844,8566,7358,566,79887,11168,4212,2063,928,10602,1738,5138,11011,760,27440,4311,891,8516,64854,2597,22836,29760,9935,3157,488,10211,1434,22921,3726,7045,3045,10058,6541,4332,10769,51806,5872,65108,1105,9270,23658,6280,831,23284,5982,57496,3930,6515,56950,3624,7357,8848,23294,56929,38,820,11252,3032,7088,1466,5055,59,3005,23158,9337,5493,10606,79080,813,64429,217,687,55,1512,5209,57142,241,11078,477,4599,72,9454,29015,7320,4782,7360,2872,7416,1130,7812,4495,3320,115207,3290,1385,2357,7267,1749,10656,10791,4946,9638,7168,6402,9128,994,9920,7019,5889,23029,9635,1471,5347,1780,7703,2268,51282,1392,3632,9319,1178,23326,51734,5018,7915,445347,23370,10397,8630,7027,1318,1381,360,3670,8204,4780,1293,6457,2821,8318,7037,51203,25816,55884,25776,9919,489,167227,23067,571,23601,7866,7307,79902,1511,2274,8522,5457,3189,11012,10950,6566,26751,8554,5064,6518,22827,91949,5529,8581,55748,142,10434,818,8483,56288,5121,4330,2244,7385,9669,138151,3925,2064,5190,22918,1088,1594,9764,51170,51026,638,2026,1669,7453,9743,7056,25903
13,7503,3043,6279,57016,5111,81539,1991,1893,26520,10253,1306,4499,10769,2172,22918,7071,991,2063,1522,1066,10135,5657,51176,1465,7001,50486,3306,51495,5004,4250,6690,6447,5138,9638,10631,2597,2266,6925,6999,9093,2244,2069,566,10273,1178,5104,142,5315,57215,2778,58528,7153,10656,22903,22836,3985,3929,5646,10397,3157,10362,3045,7433,7276,4353,8404,1906,6283,5889,9112,6840,994,7358,687,38,115207,7866,10190,240,8531,489,2167,80183,1434,4897,5710,6518,1738,23658,3312,10059,928,100,10562,374,65108,4069,3005,29082,10156,3315,8895,5457,256987,27242,58526,1152,55655,59,4852,2171,51734,7045,7450,79789,8566,8848,23326,2752,79902,79080,3295,760,831,23705,7102,1381,8935,10211,4246,57496,1594,7320,7267,55930,10112,9843,9934,83483,4501,8522,79686,2641,4688,26053,6280,1114,3575,27440,10602,80117,7812,4741,5090,11137,2288,339287,4224,64429,23017,8483,29775,30851,6709,23683,5493,10791,23312,6182,54103,8543,80022,2201,3632,8100,1475,6476,5190,9079,10202,23367,6675,6566,2776,5125,7159,114876,9337,9319,7644,22934,7088,1908,30836,6535,5068,3158,9063,7164,9919,4885,6697,1362,571,22796,8611,2321,2628,1318,388,5300,5553,25776,2824,55884,1780,11020,25797,9191,6867,22877,11012,10606,399665,2877,5121,53335,8839,5349,22921,376267,8894,284,1471,3320,2280,7013,25816,891,23325,23076,5708,4082,9331,55252,8974,3294,8516,6036,57761,9212,338,10321,2494,5728,10051,9743,56995,25932,7296,9221,150,5529,22875,2065,79144,65057,7091,6049,8824,79583,55819,3726,11201,4086,5982,114327,2938,10793,54148,5347,2258,79154,4600,10758,3091,79908,1727,1730,22878,3032,169611,113146,3693,79139,23405,9050,79870,5064,8490
14,7503,81539,991,57016,760,6925,51176,5111,6279,3043,10135,10769,50486,6926,1152,1991,2877,3315,5315,9638,1465,1362,1178,4499,7071,1306,10253,100,26520,2172,10409,10606,1791,5657,8531,3045,25816,29082,994,3295,142,2266,5138,5553,7153,9093,2244,57215,1434,10628,6447,6182,7091,29760,7001,1906,4353,23326,6566,1908,2778,1475,79902,2628,5209,5055,6690,10397,7433,1893,4852,10602,3929,22877,489,65108,10457,1066,6591,10656,7177,8574,55884,54474,3157,7088,70,58478,3005,5889,3985,445347,80183,8611,376267,8848,11065,8204,7050,27346,488,1398,10190,566,10362,1674,11137,9128,7104,1577,53335,9690,2961,10105,5872,5530,2201,4897,5068,5982,10273,571,2069,6518,6283,5121,231,58528,3632,1522,3306,7416,55930,22796,1983,3240,949,5349,6840,4057,4741,64499,22836,5090,4311,10038,10202,8566,4232,10562,3670,3312,9214,81552,51806,7267,5968,7276,23179,332,9337,2597,928,4600,5004,253190,9188,10211,23191,670,4925,1179,23017,10776,6867,115207,3091,3399,1606,2258,3320,7905,6541,3189,51021,11012,23367,4086,27129,8115,57804,79080,64780,2641,54490,2288,3032,80022,3575,57496,7866,240,1880,51734,11240,22918,3726,23370,6036,1594,3158,9079,6253,27290,10059,22934,3248,2131,8516,2171,8829,25959,9063,10058,8483,4082,4124,23405,72,4983,79686,59,8530,57149,4250,2495,1385,5493,124583,8520,6999,27242,55013,2243,13,366,4790,27440,5087,3959,6657,23683,7812,22921,27122,16,5214,54148,5789,256987,23787,6415,3488,2632,4615,8788,79716,2752,5287,7037,23164,217,9783,79154,23294,10434,5529,5646,9112,5710,2353,2803,8936,1738,5190,10112,9929,79789,8991,10200,38,23076,56987,481,51231,51203,64856,831,5917,5360
15,7503,3043,57016,6279,5111,1893,4499,10135,81539,1991,7071,51176,6690,1066,7001,1306,6447,5657,5004,10253,2172,9638,26520,22918,10769,1522,10273,50486,6840,2778,2063,991,10631,10190,8531,1152,29082,4250,240,5138,2244,3306,1178,2266,10059,2597,1465,760,5315,58528,6283,4353,6999,80183,3315,5646,6925,38,7276,22836,10362,3929,7358,4501,489,142,7153,1738,22921,2171,4246,8404,3045,7433,4852,1434,6566,51495,10562,3157,79902,57215,994,566,1906,9093,7045,5457,2877,10211,5889,3005,23658,9112,928,57496,8848,7450,8895,100,2752,3985,5349,6709,4680,1381,6518,79080,8566,9843,27242,10397,5710,79789,5708,8935,5104,9319,64429,3632,256987,9079,23326,10656,2069,10602,7320,59,5209,7102,6675,8991,51734,687,7866,1362,22903,23405,831,10202,5553,1114,55884,571,5493,4897,3320,22877,4688,65108,3158,7267,3295,2776,1594,55655,7812,23367,1791,10156,1908,3312,4495,53335,4224,4082,2167,3726,58526,4086,6867,10321,23705,7307,1476,8611,374,29775,1669,6280,55930,65057,23312,27440,80117,23017,22796,23683,6286,1475,11137,7088,6182,9063,3294,3429,2824,25776,23157,8522,54474,83483,10791,23076,3575,11257,9337,80022,4741,11065,5121,79908,54148,7164,25816,2641,5982,7644,11168,8100,54103,10051,91949,23325,10606,23294,3032,22934,8854,2872,1780,4710,53405,7177,339287,9934,5347,4615,388,23258,445347,114876,9212,2012,5538,4583,9743,6541,79686,114327,9191,8520,5530,22875,6415,26053,7091,3764,8483,150,2992,4282,8507,25903,10628,5190,6697,27075,10793,11201,5872,2321,1088,79144,5529,22878,9919,169611,3091,488,9531,224,58478,11078,10200,7031,79038,1749,1577,3399,6476,1727,253190,10580,2114,55190,79583,10105,366,9341
16,16,54386,10417,6050,10647,1363,4043,158471,5566,8569,3454,3354,6192,7837,2886,2516,1589,9093,55510,1586,221960,284352,3235,3623,5529,529,775,64428,55885,4123,6508,5239,3375,57658,2,6832,9478,23558,5986,9915,6339,6847,3765,23770,3630,54862,5098,1357,93164,10369,388567,2116,1584,60385,7482,9671,4168,27037,56159,747,6527,10803,8528,2352,23629,23309,8940,10559,6326,196403,29906,1406,22924,3360,23271,11043,30811,80125,54813,149076,9796,5319,11172,26048,8911,7700,51763,5890,54799,84298,9420,80111,5365,2977,23005,64170,1583,55422,3882,64091,25850,9860,9266,50944,6853,11060,170679,7014,55192,81850,9737,5680,5321,79825,3746,11085,11248,54477,51160,23654,54879,57047,50836,9230,3024,847,3859,8216,126070,6511,7691,54943,284649,85459,30819,23409,1120,9372,84851,8622,4648,55727,7783,441151,54496,55336,2696,7008,53904,27336,389856,79641,126393,5232,79640,3762,3846,347240,5897,27287,113835,7016,8359,2902,7422,9495,79934,1418,100131755,4593,1636,26103,8927,5796,56157,5406,85294,4158,58483,28984,7288,54866,3284,6688,2257,142684,51199,53358,6865,57144,6677,9247,3239,9853,8521,8349,80316,4868,6329,643224,8456,26261,23113,3760,6407,2712,54466,9650,7799,64122,2166,1587,202181,611,10936,322,11055,1208,2691,79883,9863,410,57828,9752,5539,3777,23614,6545,83482,11153,10086,5669,27094,460,9381,29124,5297,902,23436,55308,146542,25833,2854,6011,64064,6649,7066,27288,23081,56112,7768,23542,9342,63967,54329,81833,7638,51147,9758,26094,346562,9312,7296,3449,389177,3062,79173,9699,10317,54777,8001,84172,27178,50514,215,22999,57663,55867,8859,1414,163486,81856,23418,64106,928,22832,4249,2702,729799,8074,56979,57576,4994,26145,25862,5369,3174,4232,284904,57172
