,cmap_name,ENTREZID,target
1,vigabatrin,18,ABAT
2,3-methyl-GABA,18,ABAT
3,valproic-acid,18,ABAT
4,phenelzine,18,ABAT
9,stiripentol,18,ABAT
10,paxilline,19,ABCA1
11,alitretinoin,19,ABCA1
12,probucol,19,ABCA1
13,glibenclamide,19,ABCA1
14,T-0901317,19,ABCA1
16,GW-3965,19,ABCA1
17,quinidine,5243,ABCB1
18,NU-7441,5243,ABCB1
19,phenytoin,5243,ABCB1
20,paclitaxel,5243,ABCB1
21,bosentan,5243,ABCB1
22,rifampicin,5243,ABCB1
23,1-monopalmitin,5243,ABCB1
24,dofequidar,5243,ABCB1
25,tariquidar,5243,ABCB1
26,zosuquidar,5243,ABCB1
27,nobiletin,5243,ABCB1
28,valspodar,5243,ABCB1
30,lomerizine,5243,ABCB1
31,digoxin,5243,ABCB1
32,carbamazepine,5243,ABCB1
33,DPPE,5243,ABCB1
38,erythromycin-ethylsuccinate,5243,ABCB1
41,quinine,5243,ABCB1
43,erythromycin-estolate,5243,ABCB1
48,elacridar,5243,ABCB1
49,cyclosporin-a,8647,ABCB11
51,probucol,8647,ABCB11
54,glibenclamide,8647,ABCB11
55,zosuquidar,5244,ABCB4
56,dofequidar,4363,ABCC1
57,sulfinpyrazone,4363,ABCC1
59,probenecid,4363,ABCC1
60,benzbromarone,4363,ABCC1
62,sulfinpyrazone,1244,ABCC2
63,glipizide,6833,ABCC8
64,glimepiride,6833,ABCC8
65,gliclazide,6833,ABCC8
66,nateglinide,6833,ABCC8
68,repaglinide,6833,ABCC8
70,pinacidil,6833,ABCC8
72,mitiglinide,6833,ABCC8
74,glibenclamide,6833,ABCC8
79,gliquidone,6833,ABCC8
83,chlorpropamide,6833,ABCC8
85,tolbutamide,6833,ABCC8
93,pinacidil,10060,ABCC9
94,cromakalim,10060,ABCC9
98,minoxidil,10060,ABCC9
104,nicorandil,10060,ABCC9
105,Y-27152,10060,ABCC9
106,levcromakalim,10060,ABCC9
111,PCO-400,10060,ABCC9
113,glibenclamide,10060,ABCC9
115,Y-26763,10060,ABCC9
117,domperidone,9429,ABCG2
118,amlodipine,9429,ABCG2
119,fosinopril,9429,ABCG2
120,KO-143,9429,ABCG2
121,trifluoperazine,9429,ABCG2
122,imatinib,9429,ABCG2
123,prunetin,9429,ABCG2
125,saracatinib,25,ABL1
126,GNF-2,25,ABL1
127,AT-9283,25,ABL1
128,tozasertib,25,ABL1
129,WH-4023,25,ABL1
133,HG-6-64-01,25,ABL1
134,dasatinib,25,ABL1
136,PP-2,25,ABL1
137,AG-957,25,ABL1
138,KW-2449,25,ABL1
139,rebastinib,25,ABL1
140,bosutinib,25,ABL1
142,flumatinib,25,ABL1
143,ponatinib,25,ABL1
144,regorafenib,25,ABL1
148,nilotinib,25,ABL1
149,imatinib,25,ABL1
156,metatinib,25,ABL1
