EntrezID,GeneID,Symbol,Description,Protein Name,UniProt ID
1,ENSG00000121410,A1BG,alpha-1-B glycoprotein,Alpha-1B-glycoprotein,P04217; Q68CK0; A8K052; Q8IYJ6; Q96P39
2,ENSG00000175899,A2M,alpha-2-macroglobulin,Alpha-2-macroglobulin,Q6PN97; P01023; Q59F47; Q13677; Q5QTS0; Q68DN2; Q6PIY3
3,ENSG00000291190,A2MP1,alpha-2-macroglobulin pseudogene 1,-,-
9,ENSG00000171428,NAT1,N-acetyltransferase 1,Arylamine N-acetyltransferase 1,P18440; Q546N1; O15159; O15300; Q96TE9; A8K4E7
10,ENSG00000156006,NAT2,N-acetyltransferase 2,Arylamine N-acetyltransferase 2,Q86XS1; Q2MLN7; O60654; Q16697; Q2MLE4; Q2MLG8; Q96KY8; Q13146; Q2MLJ6; Q9H220; Q2MLF5; P11245; Q2MLK4; Q96T64; Q96T65; Q2MLK6; O43637; Q6LET4; Q86XS0; O60655
12,ENSG00000196136,SERPINA3,serpin family A member 3,Alpha-1-antichymotrypsin,Q96DW8; Q59GP9; Q13703; Q2TU87; Q6LBY8; P01011; Q6NSC9; Q8N177; Q6LDT7; B3KVQ7; Q9UNU9; Q2TU88; Q9UC47
13,ENSG00000114771,AADAC,arylacetamide deacetylase,Arylacetamide deacetylase,Q8N1A9; A8K3L3; P22760; D3DNJ6
14,ENSG00000127837,AAMP,angio associated migratory cell protein,Angio-associated migratory cell protein,Q13685; Q8WUJ9; Q96H92
15,ENSG00000129673,AANAT,aralkylamine N-acetyltransferase,Serotonin N-acetyltransferase,A0AVF2; J3KMZ5; Q16613; Q562F4
16,ENSG00000090861,AARS1,alanyl-tRNA synthetase 1,"Alanine--tRNA ligase, cytoplasmic",P49588; A6NF14; B4DR45; Q96FA0; Q53GV7
18,ENSG00000183044,ABAT,4-aminobutyrate aminotransferase,"4-aminobutyrate aminotransferase, mitochondrial",Q96BG2; Q8N5W2; Q99800; A8K386; Q16260; P80404
19,ENSG00000165029,ABCA1,ATP binding cassette subfamily A member 1,Phospholipid-transporting ATPase ABCA1,Q9UN09; Q5VX33; Q96T85; Q9UN06; Q9UN07; Q9NQV4; Q9UN08; O95477; Q96S56
20,ENSG00000107331,ABCA2,ATP binding cassette subfamily A member 2,ATP-binding cassette sub-family A member 2,A6NED5; Q5SPY5; Q76MW7; Q9HC28; Q9BZC7; Q5W9G5
21,ENSG00000167972,ABCA3,ATP binding cassette subfamily A member 3,Phospholipid-transporting ATPase ABCA3,B2RU09; Q6P5P9; Q99758; Q54A95; Q92473
22,ENSG00000131269,ABCB7,ATP binding cassette subfamily B member 7,"Iron-sulfur clusters transporter ABCB7, mitochondrial",O75345; Q9UND1; G3XAC4; Q9UP01; O75027; Q5VWY7; Q5VWY8; Q9BRE1
23,ENSG00000204574,ABCF1,ATP binding cassette subfamily F member 1,ATP-binding cassette sub-family F member 1,O14897; A2BF75; Q69YP6; Q8NE71
24,ENSG00000198691,ABCA4,ATP binding cassette subfamily A member 4,Retinal-specific phospholipid-transporting ATPase ABCA4,O60438; Q4LE31; P78363; O60915; O15112; Q0QD48
25,ENSG00000097007,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",Tyrosine-protein kinase ABL1,P00519; Q13870; Q17R61; A3KFJ3; Q45F09; Q16133; Q13869
26,ENSG00000002726,AOC1,amine oxidase copper containing 1,Amiloride-sensitive amine oxidase [copper-containing],Q6GU42; Q16683; Q56II4; C9J690; P19801; Q16684
27,ENSG00000143322,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",Tyrosine-protein kinase ABL2,B7UEF2; B7UEF4; A0M8X0; B7UEF3; Q7Z301; P42684; Q5T0X6; Q5W0C5; Q6NZY6; B7UEF5
28,ENSG00000175164,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",Histo-blood group ABO system transferase,Q6ISD4; B0JDB9; O14758; Q9UQ68; Q9UQ69; Q99485; Q14490; P16442; Q70V27; Q9NY01; Q53I57; Q99484; Q6KFZ2
29,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase,Active breakpoint cluster region-related protein,D3DTH4; B7Z6H7; Q13694; Q13693; B3KW89; Q12979; D3DTH3; F5H3S2; F5H8B3
30,ENSG00000060971,ACAA1,acetyl-CoA acyltransferase 1,"3-ketoacyl-CoA thiolase, peroxisomal",Q96CA6; P09110; G5E935
31,ENSG00000278540,ACACA,acetyl-CoA carboxylase alpha,Acetyl-CoA carboxylase 1,Q7Z563; Q13085; Q7Z2G8; Q86WB3; B2ZZ90; Q86WB2; B2RP68; Q6KEV6; Q6XDA8; Q7Z561; Q7Z564
32,ENSG00000076555,ACACB,acetyl-CoA carboxylase beta,Acetyl-CoA carboxylase 2,Q16852; A6NK36; Q6KE87; Q6KE89; Q6TY48; O00763; Q1HEC1
33,ENSG00000115361,ACADL,acyl-CoA dehydrogenase long chain,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",P28330; Q8IUN8; B2R8T3
34,ENSG00000117054,ACADM,acyl-CoA dehydrogenase medium chain,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",P11310; Q9NYF1; Q5T4U4
35,ENSG00000122971,ACADS,acyl-CoA dehydrogenase short chain,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",P78331; P16219
36,ENSG00000196177,ACADSB,acyl-CoA dehydrogenase short/branched chain,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",P45954; Q96CX7; B4DQ51; Q5SQN6
37,ENSG00000072778,ACADVL,acyl-CoA dehydrogenase very long chain,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",F5H2A9; Q8WUL0; B4DEB6; O76056; P49748
38,ENSG00000075239,ACAT1,acetyl-CoA acetyltransferase 1,"Acetyl-CoA acetyltransferase, mitochondrial",Q96FG8; G3XAB4; P24752; B2R6H1
39,ENSG00000120437,ACAT2,acetyl-CoA acetyltransferase 2,"Acetyl-CoA acetyltransferase, cytosolic",B7Z233; E1P5B1; Q16146; Q8TDM4; Q5TCL7; Q9BWD1
40,ENSG00000108684,ASIC2,acid sensing ion channel subunit 2,Acid-sensing ion channel 2,E9PBX2; Q13553; Q6DJU1; Q8N3E2; Q16515
41,ENSG00000110881,ASIC1,acid sensing ion channel subunit 1,Acid-sensing ion channel 1,E5KBL7; P78349; Q96CV2; P78348; A3KN86
43,ENSG00000087085,ACHE,acetylcholinesterase (Yt blood group),Acetylcholinesterase,P22303; A4D2E2; Q86TM9; Q86YX9; Q16169; Q2M324; B7ZKZ0; Q29S23; Q53F46; D6W5X7; Q504V3; Q9BXP7
47,ENSG00000131473,ACLY,ATP citrate lyase,ATP-citrate synthase,Q9BRL0; B4DIM0; Q13037; P53396; B4E3P0
48,ENSG00000122729,ACO1,aconitase 1,Cytoplasmic aconitate hydratase,P21399; Q14652; D3DRK7; Q5VZA7
49,ENSG00000100312,ACR,acrosin,Acrosin,Q6ICK2; P10323
50,ENSG00000100412,ACO2,aconitase 2,"Aconitate hydratase, mitochondrial",Q6FHX0; Q99798; Q8TAQ6; Q5JZ41; O75809
51,ENSG00000161533,ACOX1,acyl-CoA oxidase 1,Peroxisomal acyl-coenzyme A oxidase 1,Q15067; Q12863; Q9UD31; Q15101; F5GYQ8; Q16131; A8K6X8; A8KAA0; B4DK61; Q15068; Q7Z3W5
52,ENSG00000143727,ACP1,acid phosphatase 1,Low molecular weight phosphotyrosine protein phosphatase,A8K1L9; Q16725; P24666; P24667; B5MCC7; Q16035; Q16036; Q3KQX8; Q53RU0
53,ENSG00000134575,ACP2,"acid phosphatase 2, lysosomal",Lysosomal acid phosphatase,E9PCI1; P11117; Q9BTU7; Q561W5
54,ENSG00000102575,ACP5,"acid phosphatase 5, tartrate resistant",Tartrate-resistant acid phosphatase type 5,Q9UCJ5; Q9UCJ7; A8K3V2; Q6IAS6; Q9UCJ6; Q2TAB1; P13686
55,ENSG00000014257,ACP3,acid phosphatase 3,Prostatic acid phosphatase,P15309; Q96QM0; D3DNC6; Q96QK9; Q5FBY0; Q96KY0
56,ENSG00000134940,ACRV1,acrosomal vesicle protein 1,Acrosomal protein SP-10,Q53FF4; P26436
58,ENSG00000143632,ACTA1,"actin alpha 1, skeletal muscle","Actin, alpha skeletal muscle",Q5T8M9; P02568; P68133; P99020
59,ENSG00000107796,ACTA2,"actin alpha 2, smooth muscle","Actin, aortic smooth muscle",P62736; P03996; B2R8A4; P04108; Q6FI19
60,ENSG00000075624,ACTB,actin beta,"Actin, cytoplasmic 1",P70514; Q64316; P60709; Q96HG5; P02570; Q75MN2; P99021; Q11211; Q96B34
70,ENSG00000159251,ACTC1,actin alpha cardiac muscle 1,"Actin, alpha cardiac muscle 1",P68032; P04270
71,ENSG00000184009,ACTG1,actin gamma 1,"Actin, cytoplasmic 2",A8K7C2; P02571; P63261; Q96E67; P14104; P99022; Q5U032
72,ENSG00000163017,ACTG2,"actin gamma 2, smooth muscle","Actin, gamma-enteric smooth muscle",P63267; B4E315; B2R7E7; E9PG30; Q504R1; D6W5H8; P12718; Q6FI22
81,ENSG00000130402,ACTN4,actinin alpha 4,Alpha-actinin-4,D6PXK4; O43707; A4K467; O76048
86,ENSG00000136518,ACTL6A,actin like 6A,Actin-like protein 6A,Q9H0W6; O96019; D3DNR9; B3KMN1; Q9BVS8; Q8TAE5
87,ENSG00000072110,ACTN1,actinin alpha 1,Alpha-actinin-1,P12814; B4DHH3; B7TY16; Q9BTN1; B3V8S3; Q1HE25
88,ENSG00000077522,ACTN2,actinin alpha 2,Alpha-actinin-2,B1ANE4; Q86TF4; Q86TI8; P35609; B2RCS5
89,ENSG00000248746,ACTN3,actinin alpha 3,Alpha-actinin-3,Q4KKV2; A6NP77; Q08043
90,ENSG00000115170,ACVR1,activin A receptor type 1,Activin receptor type-1,Q04771
91,ENSG00000135503,ACVR1B,activin A receptor type 1B,Activin receptor type-1B,B7Z5W5; Q15481; Q15482; B7Z5L8; P36896; Q15479; Q15480
92,ENSG00000121989,ACVR2A,activin A receptor type 2A,Activin receptor type-2A,Q6NWV2; Q53TH4; B2RAB8; B4DWQ2; Q92474; D3DP85; P27037
93,ENSG00000114739,ACVR2B,activin A receptor type 2B,Activin receptor type-2B,Q4VAV0; Q13705
94,ENSG00000139567,ACVRL1,activin A receptor like type 1,Serine/threonine-protein kinase receptor R3,A6NGA8; P37023
95,ENSG00000243989,ACY1,aminoacylase 1,Aminoacylase-1,Q03154; C9J6I6; C9J9D8; C9JWD4
97,ENSG00000119640,ACYP1,acylphosphatase 1,Acylphosphatase-1,B2R590; P07311; A6NDV8
98,ENSG00000170634,ACYP2,acylphosphatase 2,Acylphosphatase-2,P14621
100,ENSG00000196839,ADA,adenosine deaminase,Adenosine deaminase,Q6LA59; Q53F92; P00813
101,ENSG00000151651,ADAM8,ADAM metallopeptidase domain 8,Disintegrin and metalloproteinase domain-containing protein 8,H0YLR0; B4DVM6; H0YN39; P78325; H0YL36
102,ENSG00000137845,ADAM10,ADAM metallopeptidase domain 10,Disintegrin and metalloproteinase domain-containing protein 10,B4DU28; Q92650; O14672; Q10742
103,ENSG00000160710,ADAR,adenosine deaminase RNA specific,Double-stranded RNA-specific adenosine deaminase,Q9BYM4; D3DV76; O15223; B1AQQ9; B1AQR0; Q9BYM3; P55265; O43859; O43860
104,ENSG00000197381,ADARB1,adenosine deaminase RNA specific B1,Double-stranded RNA-specific editase 1,P78555; C9JUP4; O00691; Q4AE79; O00395; O00465; Q8NFA1; Q4AE77; C3TTQ1; A6NFK8; Q6P0M9; Q8NFD1; G5E9B4; P78563; O00692; A6NJ84; C3TTQ2
105,ENSG00000185736,ADARB2,adenosine deaminase RNA specific B2 (inactive),Double-stranded RNA-specific editase B2,Q5VUT6; Q9NS39; B2RPJ5; Q5VW42
107,ENSG00000164742,ADCY1,adenylate cyclase 1,Adenylate cyclase type 1,Q08828; A4D2L8; Q75MI1
108,ENSG00000078295,ADCY2,adenylate cyclase 2,Adenylate cyclase type 2,B7Z2C1; Q9UDB2; Q9UPU2; Q2NKL8; Q08462
109,ENSG00000138031,ADCY3,adenylate cyclase 3,Adenylate cyclase type 3,B3KT86; Q53T54; Q9UDB1; O60266
111,ENSG00000173175,ADCY5,adenylate cyclase 5,Adenylate cyclase type 5,Q7RTV7; O95622; B7Z8A6; Q8NFM3
112,ENSG00000174233,ADCY6,adenylate cyclase 6,Adenylate cyclase type 6,O43306; Q9NR75; Q9UDB0
113,ENSG00000121281,ADCY7,adenylate cyclase 7,Adenylate cyclase type 7,P51828; A0AVA6
114,ENSG00000155897,ADCY8,adenylate cyclase 8,Adenylate cyclase type 8,P40145
115,ENSG00000162104,ADCY9,adenylate cyclase 9,Adenylate cyclase type 9,O60503; A7E2X2; Q4ZHT9; D3DUD1; Q4ZIR5; O60273; Q9BWT4; Q9UGP2; A7E2V5
116,ENSG00000141433,ADCYAP1,adenylate cyclase activating polypeptide 1,Pituitary adenylate cyclase-activating polypeptide,P18509; Q52LQ0; B2R7N4
